MO_Name;Weekday;Hour;Provider;Number
Крылатское;пн;3.0;1;0.2924323611666606
Головинский;пн;3.0;1;0.2619253170113061
Южное Тушино;пн;3.0;1;0.10125539539494183
Северное Тушино;пн;3.0;1;0.307413110736724
Черёмушки;пн;3.0;1;0.3430567538938448
Покровское-Стрешнево;пн;3.0;1;0.11538201423206239
Хорошёво-Мнёвники;пн;3.0;1;0.1676819409379994
Очаково-Матвеевское;пн;3.0;1;0.19279312532385273
Тропарёво-Никулино;пн;3.0;1;0.22963222941769248
Левобережный;пн;3.0;1;0.31859592672341863
Фили-Давыдково;пн;3.0;1;0.34436486834253427
Обручевский;пн;3.0;1;0.4132497249778832
Раменки;пн;3.0;1;0.407817440854353
Войковский;пн;3.0;1;0.33280756682513185
Сокол;пн;3.0;1;0.635665448135534
Западное Дегунино;пн;3.0;1;0.2335254707609465
Проспект Вернадского;пн;3.0;1;0.2654819394972978
Ясенево;пн;3.0;1;0.08285306329659603
Дорогомилово;пн;3.0;1;0.3656099999939768
Коньково;пн;3.0;1;0.4801639996592217
Хорошёвский;пн;3.0;1;0.384332343550148
Беговой;пн;3.0;1;0.44060712944241204
Коптево;пн;3.0;1;0.5549090487393555
Аэропорт;пн;3.0;1;0.4196652933008049
Пресненский;пн;3.0;1;0.33676060240011335
Бескудниковский;пн;3.0;1;0.3795444382103566
Гагаринский;пн;3.0;1;0.30614532152923796
Тимирязевский;пн;3.0;1;0.2624068372816387
Лианозово;пн;3.0;1;0.4089703434394041
Хамовники;пн;3.0;1;0.36302011114010085
Восточное Дегунино;пн;3.0;1;0.3194523178136253
Савёловский;пн;3.0;1;0.3032578507627746
Академический;пн;3.0;1;0.20338814129038665
Зюзино;пн;3.0;1;0.480238934688765
Алтуфьевский;пн;3.0;1;0.35063098951808314
Марфино;пн;3.0;1;0.761549702087576
Чертаново Центральное;пн;3.0;1;0.20839708448895206
Отрадное;пн;3.0;1;0.4423499420061051
Арбат;пн;3.0;1;0.727561709277462
Чертаново Южное;пн;3.0;1;0.24468168249246128
